name,price,product availability,product description,product service rating,number of reviews
"Процессор Intel Core i9-12900F OEM [LGA 1700, 8P x 2.4 ГГц, 8E x 1.8 ГГц, L2 - 14 МБ, L3 - 30 МБ, 2хDDR4, DDR5-4800 МГц, TDP 202 Вт]","36 499 ₽","В наличии: в 2 магазинах","Процессор Intel Core i9-12900F выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 10 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i9-12900F отвечает 8 производительных, 8 энергоэффективных ядер и 24 потока, которые могут работать в широком диапазоне частот. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,51%","20"
"Процессор AMD Ryzen 7 5700X OEM [AM4, 8 x 3.4 ГГц, L2 - 4 МБ, L3 - 32 МБ, 2хDDR4-3200 МГц, TDP 65 Вт]","19 999 ₽","В магазинах: завтра c (12:00)","Базирующийся на архитектуре Zen 3 процессор AMD Ryzen 7 5700X способен эффективно работать в составе производительного игрового компьютера. Устройство имеет 8 ядер. Потенциал процессора полностью реализуется благодаря значительному (32 МБ) объему кеш-памяти L3. Базовая частота модели равна 3400 МГц, а максимальная частота в турборежиме – 4600 МГц. Встроенное видеоядро отсутствует.  Процессор AMD Ryzen 7 5700X гарантированно совместим с памятью DDR4, использующей частоты от 1600 до 3200 МГц. Максимальный объем памяти – 128 ГБ. Энергопотребление процессора снижается благодаря поддержке технологии Pure Power.  При выборе системы охлаждения необходимо ориентироваться на показатель TDP, равный 65 Вт. Безопасная температура эксплуатации процессора – до 90 °C.","99,80%","43"
"Процессор Intel Pentium Gold G6405 BOX [LGA 1200, 2 x 4.1 ГГц, L2 - 0.5 МБ, L3 - 4 МБ, 2хDDR4-2666 МГц, Intel UHD Graphics 610, TDP 58 Вт, кулер]","5 799 ₽","В наличии: в 1 магазине","Процессор Intel Pentium Gold G6405 BOX станет отличным выбором для домашних и рабочих систем базового уровня. Модель выполнена на базе архитектуры Comet Lake-S по техпроцессу 14 нм, обладает 2 физическими ядрами и 4 виртуальными потоками, а также интегрированным графическим ускорителем Intel UHD Graphics 610. Процессор работает на частоте 4100 МГц, что обеспечивает высокую производительность системы в самых разных задачах. Объем оперативной памяти, поддерживаемой данной моделью, может достигать 128 ГБ типа DDR4. Встроенный контроллер PCI-E соответствует версии 3.0. Помимо этого данное решение поддерживает различные наборы команд и инструкций, а также передовые технологии виртуализации и энергосбережения, что делает модель универсальным выбором как для работы, так и для развлечений.  Процессор Intel Pentium Gold G6405 BOX имеет тепловыделение 58 Вт. Модель поставляется с базовой системой охлаждения и нанесенной на ее основание термопастой. Комплектный вентилятор может быть заменен на сторонние решения воздушного или водяного типа.","99,87%","37"
"Процессор Intel Core i5-10400F OEM [LGA 1200, 6 x 2.9 ГГц, L2 - 1.5 МБ, L3 - 12 МБ, 2хDDR4-2666 МГц, TDP 65 Вт]","9 499 ₽","Товара нет в наличии","Соответствующий 10-му поколению 6-ядерный процессор Intel Core i5-10400F OEM станет отличным выбором для пользователей, которые хотят собрать системный блок высокого уровня. Вычислительные способности устройства позволяют решать серьезные задачи. Процессор способен проявить свою эффективность в составе игрового ПК или производительной рабочей станции. При этом вам не потребуется приобретать громоздкий кулер: TDP процессора составляет лишь 65 Вт.  Процессор Intel Core i5-10400F OEM монтируется в сокет LGA 1200. Базовая частота устройства равна 2900 МГц. Максимальная частота в турборежиме значительно выше – 4300 МГц. Высокий уровень производительности процессора помогает обеспечить 12-мегабайтная кеш-память 3-го уровня. Объем кеш-памяти L2 равен 1.5 МБ.  Совместимая с процессором память – DDR4. Объем памяти может достигать 128 ГБ. Графическое ядро отсутствует.","99,64%","235"
"Процессор Intel Core i9-13900KF BOX [LGA 1700, 8P x 3 ГГц, 16E x 2.2 ГГц, L2 - 32 МБ, L3 - 36 МБ, 2хDDR4, DDR5-5600 МГц, TDP 253 Вт]","56 799 ₽","В магазинах: завтра c (12:00)","Процессор Intel Core i9-13900KF выполнен на базе архитектуры Raptor Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i9-13900KF отвечает 8 производительных, 16 энергоэффективных ядер и 32 потока, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,19%","24"
"Процессор AMD Ryzen 3 3200G OEM [AM4, 4 x 3.6 ГГц, L2 - 2 МБ, L3 - 4 МБ, 2хDDR4-2933 МГц, AMD Radeon Vega 8, TDP 65 Вт]","7 999 ₽","В магазинах: завтра c (12:00)","4-ядерный процессор AMD Ryzen 3 3200G OEM поставляется без системы охлаждения, поэтому выбрать кулер вы сможете самостоятельно. Базовая частота процессора, базирующегося на архитектуре Zen+, равна 3600 МГц. В турборежиме частота на 400 МГц выше – 4000 МГц. Модель подойдет для использования в составе игровой системы или производительного универсального компьютера. Общий объем кэш-памяти второго и третьего уровней равен 6 МБ. Кэш L3 вдвое объемнее своего «собрата». Процессор монтируется в сокет AM4.  Процессор AMD Ryzen 3 3200G OEM имеет интегрированное графическое ядро Radeon Vega 8, максимальная частота которого составляет 1250 МГц. Вы сможете задействовать до 128 ГБ памяти. Максимально допустимая частота памяти равна 2933 МГц. Показатель TDP процессора, непосредственно влияющий на параметры используемого кулера, равен 65 Вт. Максимальная температура процессора составляет 95 °C.","99,44%","39"
"Процессор Intel Core i9-12900KF BOX [LGA 1700, 8P x 3.2 ГГц, 8E x 2.4 ГГц, L2 - 14 МБ, L3 - 30 МБ, 2хDDR4, DDR5-4800 МГц, TDP 241 Вт]","40 499 ₽","В наличии: в 1 магазине","Процессор Intel Core i9-12900KF выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i9-12900KF отвечает 8 производительных, 8 энергоэффективных ядер и 24 потока, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","98,88%","46"
"Процессор Intel Core i7-11700K BOX [LGA 1200, 8 x 3.6 ГГц, L2 - 4 МБ, L3 - 16 МБ, 2хDDR4-3200 МГц, Intel UHD Graphics 750, TDP 125 Вт]","27 599 ₽","В магазинах: послезавтра","Процессор Intel Core i7-11700K BOX представляет собой высокопроизводительное решение для игровых систем и мощных рабочих станций. Данная модель выполнена на базе архитектуры Rocket Lake-S и техпроцесса 14 нм, а также оснащена 8 ядрами и 16 виртуальными потоками, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Графическая подсистема представлена встроенным чипом, который может обеспечить комфортный уровень производительности для различных задач. Другой особенностью модели является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений.  Процессор Intel Core i7-11700K BOX также отличается своим тепловыделением, которое составляет 125 Вт. Также возможно использование сторонних модулей охлаждения воздушного или водяного типа. Для установки на материнскую плату используется сокет LGA 1200.","99,70%","21"
"Процессор Intel Core i9-12900 BOX [LGA 1700, 8P x 2.4 ГГц, 8E x 1.8 ГГц, L2 - 14 МБ, L3 - 30 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 770, TDP 202 Вт, кулер]","39 799 ₽","В магазинах: послезавтра","Процессор Intel Core i9-12900 выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i9-12900 отвечает 8 производительных, 8 энергоэффективных ядер и 24 потока, которые могут работать в широком диапазоне частот. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","98,93%","21"
"Процессор AMD Ryzen 9 5900X OEM [AM4, 12 x 3.7 ГГц, L2 - 6 МБ, L3 - 64 МБ, 2хDDR4-3200 МГц, TDP 105 Вт]","28 499 ₽","Товара нет в наличии","Процессор AMD Ryzen 9 5900X BOX представляет собой бескомпромиссное решение для профессиональных рабочих систем, серверов, а также игровых компьютеров, чьи пользователи желают получить максимум вычислительной мощности. Данная модель основана на высококачественных компонентах и передовых технологиях, что в совокупности с большим числом физических ядер и виртуальных потоков может обеспечить непревзойденно высокую производительность в любых сценариях использования компьютера.  Поддерживаемые AMD Ryzen 9 5900X частоты могут варьироваться от 3.7 до 4.8 ГГц. Благодаря этому, а также свободному множителю данная модель отличается высоким уровнем быстродействия. В частности, модель поддерживает большое количество временной памяти, а также может работать с интерфейсом PCI-E 4.0, что открывает широкие возможности для создания бескомпромиссной компьютерной системы для профессиональной работы и развлечений.  Тепловыделение вычислительного модуля составляет 105 Вт. Для его охлаждения могут использоваться различные воздушные, а также жидкостные системы. Монтаж процессора на материнские платы производится при помощи сокета AM4.","98,29%","910"
"Процессор AMD Ryzen 7 5700G OEM [AM4, 8 x 3.8 ГГц, L2 - 4 МБ, L3 - 16 МБ, 2хDDR4-3200 МГц, AMD Radeon Graphics, TDP 65 Вт]","17 799 ₽","Товара нет в наличии","8-ядерный процессор AMD Ryzen 7 5700G поставляется без системы охлаждения, поэтому выбрать кулер вы сможете самостоятельно. Базовая частота процессора, базирующегося на архитектуре Zen 3, равна 3800 МГц. В турборежиме частота на 800 МГц выше – 4600 МГц. Модель подойдет для использования в составе игровой системы или производительного универсального компьютера. Общий объем кэш-памяти второго и третьего уровней равен 20 МБ. Процессор монтируется в сокет AM4.","99,10%","33"
"Процессор Intel Core i5-11400 OEM [LGA 1200, 6 x 2.6 ГГц, L2 - 3 МБ, L3 - 12 МБ, 2хDDR4-3200 МГц, Intel UHD Graphics 730, TDP 65 Вт]","12 499 ₽","Товара нет в наличии","Процессор Intel Core i5-11400 OEM отличается высокой производительностью и может стать отличным решением для игровых и рабочих систем любого класса. Данная модель разработана на базе микроархитектуры Rocket Lake-S и выполнена по техпроцессу 14 нм, благодаря чему процессор отличается высокой технологичностью. Для его монтажа на материнскую плату используется сокет LGA 1200.  Производительность Intel Core i5-11400 представлена 6 ядрами и 12 потоками, которые могут работать в широком диапазоне частот. Благодаря этому, а также большому кэшу разных уровней модель может обеспечить высокое быстродействие в самых разных условиях. Графическая подсистема представлена встроенным чипом Intel, который может обеспечить комфортный уровень производительности для различных задач. Другой особенностью вычислительного блока является поддержка до 128 ГБ оперативной памяти.  Тепловыделение процессора составляет 65 Вт, благодаря чему данная модель отличается невысокими рабочими температурами и подойдет для сборок в корпусах компактного формата. Модель поставляется без системы охлаждения, что позволяет использовать воздушные или водяные модули на выбор пользователя.","99,30%","1.6k"
"Процессор Intel Core i5-11400F OEM [LGA 1200, 6 x 2.6 ГГц, L2 - 3 МБ, L3 - 12 МБ, 2хDDR4-3200 МГц, TDP 65 Вт]","11 499 ₽","Товара нет в наличии","Процессор Intel Core i5-11400F OEM сочетает в себе высокую производительность и эффективность, благодаря чему эта модель отличается универсальностью и может использоваться для мощных игровых систем и рабочих станций. Процессор выполнен на базе Rocket Lake-S и техпроцесса 14 нм, за счет чего отличается технологичностью. Помимо этого, благодаря особой конструкции и сокету LGA 1200 модуль отличается простой установкой.  Вычислительная мощность Intel Core i5-11400F OEM обеспечивается за счет 6 ядер и 12 потоков, которые поддерживают широкий диапазон рабочих частот, а также встроенной графикой и поддержкой до 128 ГБ временной памяти. За счет этого, а также массивных кэшей на разных уровнях модель может обеспечить высокий уровень быстродействия для эффективного решения самых разных задач.  Другой особенностью процессора является сравнительно низкое тепловыделение, не превышающее 65 Вт. Благодаря этой особенности модель может использоваться для сборок в корпусах с ограниченным внутренним пространством. Поставка процессора осуществляется без модуля охлаждения.","99,23%","2.8k"
"Процессор Intel Core i7-13700KF BOX [LGA 1700, 8P x 3.4 ГГц, 8E x 2.5 ГГц, L2 - 24 МБ, L3 - 30 МБ, 2хDDR4, DDR5-5600 МГц, TDP 253 Вт]","37 499 ₽","В магазинах: завтра c (12:00)","Процессор Intel Core i7-13700KF выполнен на базе архитектуры Raptor Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i7-13700KF отвечает 8 производительных, 8 энергоэффективных ядер и 24 потока, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,28%","22"
"Процессор Intel Core i5-12600 BOX [LGA 1700, 6 x 3.3 ГГц, L2 - 7.5 МБ, L3 - 18 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 770, TDP 117 Вт, кулер]","20 999 ₽","В магазинах: завтра c (12:00)","Процессор Intel Core i5-12600 выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i5-12600 отвечает 6 ядер и 12 потоков, которые могут работать в широком диапазоне частот. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","100%","54"
"Процессор Intel Core i7-11700K OEM [LGA 1200, 8 x 3.6 ГГц, L2 - 4 МБ, L3 - 16 МБ, 2хDDR4-3200 МГц, Intel UHD Graphics 750, TDP 125 Вт]","26 699 ₽","В магазинах: завтра c (12:00)","Процессор Intel Core i7-11700K OEM – это мощное решение для игровых систем и производительных рабочих станций. Данная модель выполнена на базе архитектуры Rocket Lake-S и техпроцесса 14 нм, а также оснащена 8 ядрами и 16 виртуальными потоками, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Графическая подсистема представлена встроенным чипом, который может обеспечить комфортный уровень производительности для различных задач. Другой особенностью модели является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений.  Процессор Intel Core i7-11700K OEM также отличается своим тепловыделением, которое составляет 125 Вт. Модель поставляется без системы охлаждения, но при этом поддерживает сторонние модули охлаждения воздушного или водяного типа. Для установки на материнскую плату используется сокет LGA 1200.","100%","15"
"Процессор AMD Ryzen 9 7900X OEM [AM5, 12 x 4.7 ГГц, L2 - 12 МБ, L3 - 64 МБ, 2хDDR5-5200 МГц, AMD Radeon Graphics, TDP 170 Вт]","41 799 ₽","В магазинах: завтра c (12:00)","Процессор AMD Ryzen 9 7900X – это мощное решение для игровых систем и рабочих станций. В основе модели используются высококачественные компоненты и передовые технологии, что в связке с большим числом физических ядер и виртуальных потоков может обеспечить непревзойденно высокую вычислительную мощность в любых сценариях использования компьютера.  Поддерживаемые AMD Ryzen 9 7900X частоты могут варьироваться от 4.7 до 5.6 ГГц. Благодаря этому, а также свободному множителю данная модель отличается высоким уровнем быстродействия и большим потенциалом для его дальнейшего развития.  Объем поддерживаемой временной памяти может достигать 128 ГБ. Также вычислительный модуль поддерживает работу с интерфейсом PCI-E 5 поколения, что открывает широкие возможности для создания бескомпромиссной компьютерной системы для работы и развлечений.  Помимо высокой производительности процессор также отличается тепловыделением, которое не превышает 170 Вт. Для охлаждения могут использоваться как воздушные, так и водяные системы. Установка на материнскую плату производится при помощи сокета AM5.","98,25%","17"
"Процессор Intel Core i7-11700F BOX [LGA 1200, 8 x 2.5 ГГц, L2 - 4 МБ, L3 - 16 МБ, 2хDDR4-3200 МГц, TDP 65 Вт, кулер]","23 199 ₽","В наличии: в 1 магазине","Процессор Intel Core i7-11700F BOX обладает высокой производительностью и эффективностью, благодаря чему модель может стать отличным выбором для мощной компьютерной системы. Основой модели является архитектура Rocket Lake-S и техпроцесс 14 нм, за счет чего данная платформа отличается высокой технологичностью. Помимо этого, благодаря особой конструкции и сокету LGA 1200 модуль отличается простой и удобной установкой на совместимые материнские платы.  Вычислительная мощность Intel Core i7-11700F BOX обеспечивается за счет 8 ядер и 16 потоков, работающих в широком диапазоне частот. Также модель оснащена встроенным графическим чипом и поддерживает до 128 ГБ временной памяти. За счет этого, а также поддержки различных протоколов и передовых технологий данная платформа может обеспечить высокий уровень быстродействия для эффективного решения самых разных задач – будь то профессиональная работа или увлекательные игры.  Тепловыделение процессора в процессе работы составляет 65 Вт. Для его охлаждения может использоваться как комплектный модуль, так и сторонние решения воздушного или жидкостного типа.","99,58%","61"
"Процессор Intel Core i3-10100F BOX [LGA 1200, 4 x 3.6 ГГц, L2 - 1 МБ, L3 - 6 МБ, 2хDDR4-2666 МГц, TDP 65 Вт, кулер]","6 399 ₽","В наличии: в 1 магазине","Процессор Intel Core i3-10100F BOX поставляется в «коробочном» исполнении. Модель укомплектована исключительно надежным оригинальным кулером. Вам не придется задумываться о выборе устройства воздушного охлаждения.  Процессор Intel Core i3-10100F BOX принадлежит к 10-му поколению. Для установки устройства используется сокет LGA 1200. Процессор, имеющий 4 ядра, располагает 6 МБ кеш-памяти L3. Базовая частота модели довольно высока – 3600 МГц. В турборежиме частота может быть увеличена на 700 МГц – до 4300 МГц.  Процессор не имеет графического ядра. Вам потребуется дискретный видеоадаптер. Процессор совместим с памятью DDR4, которая может использовать частоты от 1600 до 2666 МГц.","99,75%","150"
"Процессор Intel Core i5-11500 OEM [LGA 1200, 6 x 2.7 ГГц, L2 - 3 МБ, L3 - 12 МБ, 2хDDR4-3200 МГц, Intel UHD Graphics 750, TDP 65 Вт]","15 499 ₽","В наличии: в 1 магазине","Процессор Intel Core i5-11500 OEM благодаря своим особенностям может стать отличным выбором для игровых систем и мощных рабочих станций. Данная модель отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Это обусловлено использованием в основе вычислительного блока 6 ядер и 12 потоков, которые могут работать в широком диапазоне частот. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Графическая подсистема представлена встроенным чипом Intel, который может обеспечить комфортный уровень производительности для различных задач. Другой особенностью модели является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений.  Тепловыделение процессора Intel Core i5-11500 OEM не превышает 65 Вт, благодаря чему данная модель подойдет для сборок в корпусах компактного форм-фактора. Для установки используется сокет LGA 1200. Модель поставляется без системы охлаждения, что позволяет использовать воздушные или водяные модули на выбор пользователя.","99,30%","29"
"Процессор AMD Athlon 3000G OEM [AM4, 2 x 3.5 ГГц, L2 - 1 МБ, L3 - 4 МБ, 2хDDR4-2667 МГц, AMD Radeon Vega 3, TDP 35 Вт]","5 499 ₽","В наличии: в 1 магазине","Самый продвинутый процессор начального уровня, который когда-либо создавала компания AMD, для пользователей, которые ценят высокую скорость реагирования и встроенную видеокарту Radeon Vega с передовой архитектурой процессора, которая нужна, чтобы воспользоваться преимуществами апгрейда графических карт.  Бесперебойный серфинг в Интернете, трансляции потокового видео без зависания изображения и воспроизведение в высоком разрешении 720p самых популярных игр для энтузиастов киберспорта.","99,78%","73"
"Процессор AMD Ryzen 9 7950X OEM [AM5, 16 x 4.5 ГГц, L2 - 16 МБ, L3 - 64 МБ, 2хDDR5-5200 МГц, AMD Radeon Graphics, TDP 170 Вт]","53 999 ₽","В магазинах: завтра c (12:00)","Процессор AMD Ryzen 9 7950X – это мощное решение для игровых систем и рабочих станций. В основе модели используются высококачественные компоненты и передовые технологии, что в связке с большим числом физических ядер и виртуальных потоков может обеспечить непревзойденно высокую вычислительную мощность в любых сценариях использования компьютера.  Поддерживаемые AMD Ryzen 9 7950X частоты могут варьироваться от 4.5 до 5.7 ГГц. Благодаря этому, а также свободному множителю данная модель отличается высоким уровнем быстродействия и большим потенциалом для его дальнейшего развития.  Объем поддерживаемой временной памяти может достигать 128 ГБ. Также вычислительный модуль поддерживает работу с интерфейсом PCI-E 5 поколения, что открывает широкие возможности для создания бескомпромиссной компьютерной системы для работы и развлечений.  Помимо высокой производительности процессор также отличается тепловыделением, которое не превышает 170 Вт. Для охлаждения могут использоваться как воздушные, так и водяные системы. Установка на материнскую плату производится при помощи сокета AM5.","99,21%","29"
"Процессор Intel Core i9-13900KF OEM [LGA 1700, 8P x 3 ГГц, 16E x 2.2 ГГц, L2 - 32 МБ, L3 - 36 МБ, 2хDDR4, DDR5-5600 МГц, TDP 253 Вт]","56 299 ₽","В магазинах: завтра c (12:00)","Процессор Intel Core i9-13900KF выполнен на базе архитектуры Raptor Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i9-13900KF отвечает 8 производительных, 16 энергоэффективных ядер и 32 потока, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","98,99%","24"
"Процессор Intel Pentium Gold G6405 OEM [LGA 1200, 2 x 4.1 ГГц, L2 - 0.5 МБ, L3 - 4 МБ, 2хDDR4-2666 МГц, Intel UHD Graphics 610, TDP 58 Вт]","4 699 ₽","В наличии: в 2 магазинах","Процессор Intel Pentium Gold G6405 OEM относится к младшей линейке вычислительных модулей и представляет собой сбалансированное решение для использования в домашних и офисных системах. Модель разработана с применением архитектуры Comet Lake-S и выполнена по техпроцессу 14 нм.  В основе Intel Pentium Gold G6405 OEM используется 2 физических ядра и 4 виртуальных потока, что вкупе с объемным кэшем разных уровней может обеспечить высокое быстродействие в различных сценариях использования. Графика представлена встроенным чипом Intel, который отлично подходит для большинства базовых задач. Максимальное количество оперативной памяти составляет 128 ГБ.  Тепловыделение Intel Pentium Gold G6405 OEM не превышает 58 Вт, что обеспечивает более низкие рабочие температуры и положительно влияет на производительность при длительных нагрузках. Данная модель поставляется без кулера. В качестве системы охлаждения могут использоваться модули воздушного или водяного типа. Процессор может быть установлен на материнские платы с сокетом LGA 1200.","100%","30"
"Процессор Intel Core i9-11900K OEM [LGA 1200, 8 x 3.5 ГГц, L2 - 4 МБ, L3 - 16 МБ, 2хDDR4-3200 МГц, Intel UHD Graphics 750, TDP 125 Вт]","32 799 ₽","В магазинах: завтра c (12:00)","Процессор Intel Core i9-11900K OEM на архитектуре Rocket Lake-S обладает мощными характеристиками, что позволяет ему раскрыть максимальный потенциал рабочей станции или настольного игрового компьютера. Процессор оборудован 8 вычислительными ядрами и 16 потоками обработки информации. Частота составляет 2.5 ГГц и способна повышаться в режиме разгона до 5.3 ГГц. Данный процессор предусматривает совместное функционирование с оперативной памятью объемом максимум 128 ГБ. Среди других особенностей Intel Core i9-11900K отмечаются встроенный графический адаптер и показатель тепловыделения в пределах 125 Вт.","99,38%","29"
